background,x,y,Soil-Type,Lithology,PC1,PC2,PC3,PC4,PC5,PC6
background,-121.6434547305,46.9185050488,2,3,0.916892349720001,-1.62269520759583,-1.49301409721375,0.75667542219162,0.212930798530579,-0.896492898464203
background,-121.5576388889,46.7557305556,6,6,-5.08376741409302,-3.77737975120544,1.65856873989105,-1.82289123535156,-0.698276519775391,1.06987428665161
background,-121.5799333333,46.8934777778,4,2,-3.25010275840759,-3.52945518493652,-0.631814360618591,1.08715045452118,-1.42336893081665,0.739538133144379
background,-121.7116305556,46.9002416667,6,9,4.36901617050171,-0.425102055072784,-1.01540803909302,-1.58060503005981,-0.375103026628494,-1.24116969108582
background,-121.7577361111,46.7777555556,2,1,0.304049491882324,0.168686032295227,2.81995248794556,-0.462605506181717,-0.867108047008514,-1.60135138034821
background,-121.7595893198,46.777765678,2,9,0.0211828276515007,0.134701892733574,3.03598475456238,0.912958800792694,-0.998908877372742,0.554142534732819
background,-121.7323156673,46.7922095345,2,2,2.56336331367493,0.172476038336754,2.87494015693665,-1.39358592033386,-0.319254070520401,-0.336718201637268
background,-121.808555,46.761395,1,6,-3.6722846031189,-0.365198612213135,1.51189875602722,0.197498261928558,-0.602595746517181,1.78477573394775
background,-121.7274138667,46.7965306454,6,2,3.1231005191803,0.207072198390961,3.20926403999329,0.805635213851929,-0.463803023099899,0.950014054775238
background,-121.6599181823,46.9156405723,2,9,0.87221896648407,-1.50280976295471,-1.67238807678223,-0.96233344078064,-1.34021246433258,-1.11624991893768
background,-121.8787638889,46.7679805556,1,4,-4.98379230499268,-0.0942458733916283,0.487029612064362,-1.97439312934875,-0.503595650196075,1.17114269733429
background,-121.878,46.7663138889,1,4,-5.09959316253662,-0.180800810456276,0.387768149375916,-2.57452344894409,-0.743377447128296,0.202388256788254
background,-121.6345222222,46.9801138889,2,6,-3.15101790428162,-2.43084740638733,-1.41592979431152,-1.27317631244659,-1.43453073501587,-0.182951226830482
background,-121.6243277778,46.9881111111,2,6,-3.30416512489319,-2.66410374641418,-1.29714810848236,-0.212005421519279,-0.870545566082001,0.586556851863861
background,-121.6316,46.9824333333,2,6,-3.18964648246765,-2.56540679931641,-1.18302512168884,0.643041491508484,-0.833820164203644,1.46989476680756
background,-121.8127444444,46.75085,1,2,-4.78113889694214,-0.620926916599274,0.957820057868958,0.343574792146683,-0.855940163135529,-1.29726874828339
background,-121.6356666667,46.7656883333,2,3,-4.45413780212402,-2.7325177192688,0.806177914142609,-0.0134599320590496,-0.675927460193634,-0.496117353439331
background,-121.7363527778,46.783325,2,2,1.91343021392822,0.216986387968063,2.76995277404785,-2.60138750076294,-1.05513989925385,-0.185940638184547
background,-121.7801121902,46.7838057037,6,3,-1.00271022319794,0.025711240246892,3.08061456680298,0.771113276481628,-0.953176200389862,0.963534951210022
background,-121.7197416667,46.79628,6,9,3.55346298217773,0.222806707024574,2.56592202186584,-2.6430459022522,0.416194200515747,-0.393902063369751
background,-121.5565333333,46.759055,6,6,-5.09712791442871,-3.7863826751709,1.45357823371887,-2.40151858329773,-0.812148928642273,0.863703429698944
background,-121.7328116667,46.7901166667,2,2,2.27265071868896,0.172911912202835,2.88153648376465,-0.841596662998199,-0.47772878408432,-0.384579032659531
background,-121.730800683,46.8023768772,6,9,4.14563846588135,0.0727745890617371,2.19291234016418,-2.40639901161194,0.905973076820374,-0.259659796953201
background,-121.7288007904,46.8050594851,6,9,4.8295521736145,0.000120586439152248,2.32907176017761,-1.54632580280304,0.863302052021027,0.158094942569733
background,-121.7235008961,46.8059926763,6,9,4.79911518096924,0.138965502381325,2.63983678817749,-0.931429803371429,-0.0589955039322376,1.64738047122955
