background,x,y,Soil-Type,Lithology,PC1,PC2,PC3,PC4,PC5,PC6
background,-121.90532,46.7945333333,2,6,-1.10699510574341,0.680188715457916,0.779280006885529,-2.36434006690979,0.67894572019577,0.354602992534637
background,-121.6429008543,46.9027775652,4,3,-1.3629070520401,-1.78552627563477,-1.11006855964661,0.285780787467957,-1.10457348823547,1.74553966522217
background,-121.6455914453,46.9178365752,2,3,0.932408630847931,-1.63390779495239,-1.31786918640137,1.57316648960114,-0.848012149333954,-1.27163088321686
background,-121.7136472222,46.9036194444,6,9,4.37121486663818,-0.339703291654587,-0.946191847324371,1.22128117084503,1.91127812862396,0.356349766254425
background,-121.6895888889,46.9066777778,6,9,2.86199259757996,-0.787746667861938,-1.24929130077362,-0.179604813456535,0.0985971689224243,1.0126781463623
background,-121.8132927115,46.7506265994,1,2,-4.73481702804565,-0.572624623775482,0.731451153755188,-1.70748674869537,-0.830169796943665,-0.123937003314495
background,-121.7282135291,46.7955550736,6,3,2.81172180175781,0.20850682258606,2.73183345794678,-1.42723298072815,-0.125478729605675,-1.28006982803345
background,-121.7294650039,46.7945953435,6,3,2.58658123016357,0.256353259086609,3.019198179245,0.679631650447845,-0.493965089321136,-1.51102650165558
background,-121.734740788,46.7858937069,2,2,2.14667868614197,0.210015803575516,2.79538059234619,-1.81114101409912,-0.808102071285248,-1.00315630435944
background,-121.8076629254,46.748607012,1,2,-4.52287769317627,-0.532290756702423,0.637836813926697,-1.73249876499176,-0.156742051243782,0.652818977832794
background,-121.735878531,46.786378264,2,2,2.1194634437561,0.174463152885437,3.13509225845337,0.647257506847382,-0.826785266399384,1.503093957901
background,-121.6599181823,46.9156405723,2,9,0.87221896648407,-1.50280976295471,-1.67238807678223,-0.96233344078064,-1.34021246433258,-1.11624991893768
background,-121.6481594056,46.9186869551,2,3,0.885917842388153,-1.60750770568848,-1.69948482513428,0.376202374696732,1.51481699943542,-0.649012863636017
background,-121.6404508045,46.9148819682,2,9,0.698450684547424,-1.74531698226929,-1.13209676742554,2.36428093910217,-1.14078187942505,0.791716277599335
background,-121.73742,46.7925833333,2,2,2.70180225372314,0.138334661722183,2.91868114471436,0.58647632598877,-1.23294758796692,-1.50956380367279
background,-121.6432027778,46.91475,2,9,0.633976697921753,-1.7228901386261,-1.27928471565247,1.67014515399933,-0.972737967967987,-0.341656684875488
background,-121.8787638889,46.7679805556,1,4,-4.98379230499268,-0.0942458733916283,0.487029612064362,-1.97439312934875,-0.503595650196075,1.17114269733429
background,-121.6305555556,46.9838333333,2,6,-3.24311137199402,-2.54221343994141,-1.1994321346283,0.279410123825073,-0.66639906167984,1.08061170578003
background,-121.8084086684,46.74771379,1,2,-4.52299880981445,-0.583938300609589,1.08501875400543,1.4326159954071,-0.774014830589294,-1.15265834331512
background,-121.7378527778,46.7825083333,2,2,1.89872121810913,0.160000637173653,3.03690409660339,-0.372603833675385,-0.83895218372345,1.83627820014954
background,-121.7363527778,46.783325,2,2,1.91343021392822,0.216986387968063,2.76995277404785,-2.60138750076294,-1.05513989925385,-0.185940638184547
background,-121.7328116667,46.7912716667,2,2,2.48670959472656,0.196693316102028,3.23685002326965,1.35489630699158,-0.443822532892227,-0.254176437854767
background,-121.540024,46.867351,6,6,-1.62334454059601,-2.70154738426208,-0.840711772441864,0.177608728408813,0.910336434841156,-0.0949370935559273
background,-121.540142,46.86745,6,6,-1.63256216049194,-2.67043113708496,-0.899407744407654,0.118422202765942,1.49382722377777,-0.113235667347908
background,-121.7322466667,46.8034866667,6,2,4.25531816482544,0.0120014762505889,2.2364342212677,-2.67722511291504,0.862541794776917,0.318356722593307
background,-121.7367633333,46.793505,2,2,2.58835077285767,0.123912982642651,2.77469754219055,0.193804413080215,-0.507159948348999,-1.63136768341064
background,-121.7826923914,46.7853279831,6,3,-0.668307781219482,-0.0430141352117062,2.70639061927795,-1.00183773040771,-0.627485036849976,-0.471102267503738
