species,X,Y,Soil-Type,Lithology,PC1,PC2,PC3,PC4,PC5,PC6
Pedicularis.rainierensis_PA4_RUN3,-121.5843102321,46.9193935868,2,3,-0.435592979192734,-2.059237241745,-1.73554253578186,-1.29148995876312,0.425131410360336,-1.53247702121735
Pedicularis.rainierensis_PA4_RUN3,-121.82097,46.9216466667,6,9,2.14906978607178,3.378981590271,-0.983006238937378,2.20808267593384,-0.149332016706467,1.10090708732605
Pedicularis.rainierensis_PA4_RUN3,-121.8314527778,46.9225166667,6,9,1.3149288892746,3.65409803390503,-0.949570417404175,1.97252643108368,-1.55765914916992,-0.496318578720093
Pedicularis.rainierensis_PA4_RUN3,-121.83417549,46.9223976,6,9,1.24101579189301,3.73286366462708,-0.948380827903748,1.92052042484283,-1.23844063282013,-0.471835672855377
Pedicularis.rainierensis_PA4_RUN3,-121.83960888,46.91898767,6,9,0.568300366401672,3.67953562736511,-1.05053579807281,1.11620831489563,-0.456273972988129,-0.801815211772919
Pedicularis.rainierensis_PA4_RUN3,-121.84012,46.9189716667,6,9,0.442226439714432,3.59801316261292,-0.867870032787323,2.37139081954956,-0.68428236246109,0.35495325922966
Pedicularis.rainierensis_PA4_RUN3,-121.59852,46.9408633333,2,3,-0.137491881847382,-1.83219003677368,-1.71814239025116,-0.517635762691498,-1.05291759967804,1.54527139663696
Pedicularis.rainierensis_PA4_RUN3,-121.5921033333,46.93237,2,6,-0.577222645282745,-2.00715160369873,-1.75115251541138,-0.646828711032867,-0.618439495563507,-1.6288560628891
Pedicularis.rainierensis_PA4_RUN3,-121.5948633333,46.9276166667,2,3,-0.586066842079163,-2.10959386825562,-1.6892774105072,-1.12157332897186,-0.954220473766327,-1.09259188175201
Pedicularis.rainierensis_PA4_RUN3,-121.58448,46.9194533333,2,3,-0.472937077283859,-2.05600118637085,-1.65935850143433,-0.915094077587128,0.200735330581665,-1.64793574810028
Pedicularis.rainierensis_PA4_RUN3,-121.83947,46.7928116667,6,6,1.05197966098785,0.239572733640671,2.19109225273132,-0.216234490275383,-0.863682687282562,0.758782565593719
Pedicularis.rainierensis_PA4_RUN3,-121.8842993304,46.9561335939,6,4,0.541789889335632,3.82972574234009,-1.04889500141144,1.36221289634705,1.54616606235504,1.0206755399704
Pedicularis.rainierensis_PA4_RUN3,-121.771575,46.8039083333,6,9,3.10277128219604,-0.250496953725815,2.25009441375732,-1.46269512176514,1.51601243019104,1.28708076477051
Pedicularis.rainierensis_PA4_RUN3,-121.6565360616,46.9114973258,2,9,0.353014886379242,-1.4690750837326,-1.47591125965118,0.868446230888367,-0.544039845466614,0.707732558250427
Pedicularis.rainierensis_PA4_RUN3,-121.8353853935,46.785160387,6,4,0.128247767686844,0.177539393305779,1.7352933883667,-2.12612438201904,-1.00741541385651,0.959078252315521
Pedicularis.rainierensis_PA4_RUN3,-121.8152383333,46.9255416667,6,9,1.7339950799942,3.23837018013,-1.23052227497101,-0.272155702114105,-0.146509259939194,0.738974869251251
Pedicularis.rainierensis_PA4_RUN3,-121.6838383333,46.9170416667,6,1,0.979538083076477,-1.10460758209229,-1.65152215957642,-0.845734298229218,0.130947455763817,1.53420495986938
Pedicularis.rainierensis_PA4_RUN3,-121.773704996,46.801964343,6,9,2.56262922286987,-0.251417815685272,2.91649913787842,2.06748747825623,-0.593337297439575,0.415439397096634
Pedicularis.rainierensis_PA4_RUN3,-121.6706472222,46.9679333333,6,9,-0.221093639731407,-1.1768741607666,-1.61812520027161,1.60438883304596,-0.853594183921814,1.49971151351929
Pedicularis.rainierensis_PA4_RUN3,-121.6289833333,46.9268388889,2,6,0.0356188490986824,-1.78987860679626,-1.85257434844971,-1.96696186065674,-1.4357236623764,0.469790637493134
Pedicularis.rainierensis_PA4_RUN3,-121.8406527778,46.9228166667,6,9,0.800024688243866,3.52236747741699,-1.48640859127045,-1.79285156726837,-1.38328111171722,-0.0941056683659554
Pedicularis.rainierensis_PA4_RUN3,-121.593558,46.949659,2,6,-0.124475665390491,-1.76131701469421,-1.95457684993744,-1.58986735343933,-1.38547551631927,1.21705400943756
Pedicularis.rainierensis_PA4_RUN3,-121.863756,46.933689,6,4,-0.577642858028412,3.33911800384521,-0.87775456905365,0.690453290939331,-1.15913581848145,-0.924048960208893
Pedicularis.rainierensis_PA4_RUN3,-121.839718,46.915941,6,9,0.260017871856689,3.61820363998413,-1.31324970722198,-1.78991365432739,-1.08735394477844,0.800909578800201
Pedicularis.rainierensis_PA4_RUN3,-121.83528,46.79361,6,6,1.02747583389282,0.274790495634079,2.26964259147644,0.922477304935455,-0.192125007510185,0.528271794319153
Pedicularis.rainierensis_PA4_RUN3,-121.783607,46.80076,6,9,2.52843928337097,-0.190585255622864,2.03351163864136,-1.33922469615936,5.71690893173218,-0.185181364417076
Pedicularis.rainierensis_PA4_RUN3,-121.785772,46.796507,6,9,1.61896216869354,-0.305856317281723,2.61866784095764,1.01769709587097,-0.348558872938156,1.51426362991333
Pedicularis.rainierensis_PA4_RUN3,-121.838672,46.792253,6,6,0.802459836006165,0.244990617036819,2.33420920372009,1.19104564189911,-1.26384830474854,-0.201209753751755
Pedicularis.rainierensis_PA4_RUN3,-121.779263,46.797886,6,9,1.64594495296478,-0.192767828702927,2.71137166023254,-0.649211168289185,-1.82181894779205,1.72409558296204
Pedicularis.rainierensis_PA4_RUN3,-121.86258,46.942928,6,4,-0.53305459022522,3.494708776474,-1.28289091587067,-0.90208488702774,0.162910789251328,-0.40956249833107
Pedicularis.rainierensis_PA4_RUN3,-121.75476,46.914502,6,1,1.54713428020477,0.96759420633316,-0.620446145534515,-0.746247231960297,-0.289736896753311,1.4606945514679
Pedicularis.rainierensis_PA4_RUN3,-121.829475,46.79525,6,6,2.23314762115479,0.293160855770111,2.15614700317383,1.32187700271606,3.03839778900146,-1.34473657608032
Pedicularis.rainierensis_PA4_RUN3,-121.836714,46.916791,6,9,0.624363362789154,3.65625166893005,-1.2448456287384,-0.894201278686523,-0.617118835449219,1.43080580234528
Pedicularis.rainierensis_PA4_RUN3,-121.65743,46.91647,2,9,0.828048348426819,-1.48247456550598,-1.4593608379364,0.35511314868927,-0.963115215301514,1.01980376243591
Pedicularis.rainierensis_PA4_RUN3,-121.76833,46.91583,6,3,2.21679306030273,1.6680371761322,-0.62126612663269,0.730339586734772,1.59881639480591,1.61657166481018
