background,x,y,Soil-Type,Lithology,PC1,PC2,PC3,PC4,PC5,PC6
background,-121.6437651962,46.9002226474,4,8,-1.16942250728607,-1.78351664543152,-1.19013047218323,-1.52768337726593,-0.905436098575592,0.41654771566391
background,-121.6700972222,46.9084055556,6,9,1.85602307319641,-1.21182286739349,-1.26050388813019,1.6854852437973,0.407751470804214,-0.748983323574066
background,-121.7323156673,46.7922095345,2,2,2.56336331367493,0.172476038336754,2.87494015693665,-1.39358592033386,-0.319254070520401,-0.336718201637268
background,-121.8140506256,46.7529169692,1,6,-4.72719526290894,-0.580428957939148,1.12354302406311,0.860213816165924,-0.640571177005768,1.68153560161591
background,-121.73078553,46.7937112831,2,3,2.62916874885559,0.198354512453079,3.19916415214539,0.76394110918045,-0.867552280426025,-1.06104469299316
background,-121.6428,46.9176,2,3,0.944838166236877,-1.69910228252411,-1.67804825305939,-0.786365926265717,-0.791192233562469,-1.33830583095551
background,-121.8789416667,46.7611027778,1,4,-5.3307056427002,-0.201834738254547,0.686151266098022,-0.0472483932971954,-0.0681988075375557,1.64149487018585
background,-121.6395111111,46.9732305556,2,6,-2.78582787513733,-2.21894025802612,-1.46875107288361,-0.435402780771255,0.440243124961853,1.63533794879913
background,-121.6232222222,46.9893194444,2,6,-3.36348080635071,-2.68269848823547,-1.36065244674683,-0.50193065404892,-0.99633252620697,-0.466910511255264
background,-121.7291416389,46.8052444444,6,9,4.8153977394104,0.0379450954496861,2.3890266418457,-1.06718838214874,0.861556053161621,0.373431503772736
background,-121.7190944444,46.7952194444,6,3,3.42380285263062,0.244957834482193,2.85201954841614,-0.66167151927948,0.984696567058563,0.686080038547516
background,-121.7328116667,46.7912716667,2,2,2.48670959472656,0.196693316102028,3.23685002326965,1.35489630699158,-0.443822532892227,-0.254176437854767
background,-121.7462166667,46.7742916667,2,9,0.141746535897255,0.2284145206213,2.8270366191864,-0.175081193447113,-0.478753000497818,1.56141257286072
background,-121.7806633333,46.7851416667,6,3,-0.633699297904968,0.034867849200964,2.78987979888916,-1.37196242809296,-0.889322578907013,1.17842423915863
background,-121.7814566474,46.7849702854,6,3,-0.818795025348663,-0.00488727679476142,2.99998879432678,-0.192331492900848,-1.59540379047394,1.26369905471802
background,-121.7366716667,46.7910716667,2,2,2.60344576835632,0.146832764148712,2.55084824562073,-0.775978446006775,1.08843576908112,-1.50814092159271
background,-121.8661716667,46.9351083333,6,4,-0.607773184776306,3.36685562133789,-0.804862856864929,1.36377429962158,-1.01560091972351,-0.47113910317421
background,-121.728705,46.7926616667,6,3,2.50664758682251,0.311728328466415,2.88515496253967,-0.603451013565063,0.764505088329315,-1.18291580677032
background,-121.6376888889,46.7684333333,2,3,-4.42322587966919,-2.68933010101318,0.528114318847656,-1.81079065799713,-0.595241487026215,-0.438155174255371
background,-121.7397916667,46.7927138889,6,2,2.73094820976257,0.139230281114578,2.55136108398438,-1.75339889526367,0.499665975570679,0.0276185777038336
background,-121.7400194444,46.7930333333,6,2,2.68481922149658,0.100501000881195,2.63042521476746,-1.00577211380005,1.17731034755707,1.51346433162689
background,-121.7414866667,46.7842333333,6,2,2.15757822990417,0.18440979719162,2.71548104286194,-2.24248027801514,-0.364763110876083,0.876962006092072
background,-121.7264027778,46.8059888889,6,9,4.96386289596558,0.0300008878111839,2.6183545589447,0.439082533121109,0.72850489616394,0.986012756824493
background,-121.7372613028,46.7898348612,2,2,2.41381359100342,0.135539561510086,3.11947584152222,1.63611400127411,-0.819576561450958,0.786124467849731
background,-121.6537296813,46.9191489876,2,3,1.13073241710663,-1.49891769886017,-1.85870742797852,-0.679844260215759,1.33162117004395,0.252704203128815
background,-121.8715216667,46.95143,2,4,-0.717015326023102,3.81803178787231,-0.87808483839035,1.45019614696503,0.125675782561302,1.54903733730316
background,-121.7058033333,46.7662866667,6,9,-0.357318937778473,-0.339536219835281,2.31868195533752,-0.519291400909424,-0.684808671474457,1.01066613197327
background,-121.7380142212,46.7913513184,2,2,2.36862182617188,0.111488245427608,2.67376852035522,-0.665279269218445,-0.439109563827515,1.13183784484863
background,-121.7082901001,46.7677612305,6,3,-0.313624769449234,-0.233032122254372,2.56173944473267,-0.180285170674324,-0.540573954582214,0.896114349365234
background,-121.5859222412,46.9184761047,2,3,-0.0723524317145348,-1.92134344577789,-1.45173871517181,0.264764010906219,1.98171746730804,1.07754695415497
background,-121.8294138889,46.9753916667,3,8,-3.54235792160034,2.93279552459717,-0.605706512928009,-1.44997370243073,-0.793882608413696,-1.1318678855896
background,-121.6554374447,46.9192225396,2,3,1.31999826431274,-1.47475254535675,-1.45597660541534,2.01644349098206,1.06543636322021,0.736453473567963
