background,x,y,Soil-Type,Lithology,PC1,PC2,PC3,PC4,PC5,PC6
background,-121.5576388889,46.7557305556,6,6,-5.08376741409302,-3.77737975120544,1.65856873989105,-1.82289123535156,-0.698276519775391,1.06987428665161
background,-121.7277908325,46.7908096313,2,3,2.01494431495667,0.311892658472061,3.17015624046326,-1.17581915855408,-0.764767527580261,-0.114674739539623
background,-121.6572127095,46.9120302161,2,9,0.59960550069809,-1.47188401222229,-1.33521854877472,1.14130830764771,-0.771879494190216,1.31568777561188
background,-121.6910638889,46.9056027778,6,9,2.93808841705322,-0.734396755695343,-1.20331954956055,0.152166858315468,0.67820018529892,-1.84519827365875
background,-121.6904138889,46.9063944444,6,9,2.91643810272217,-0.769334673881531,-1.45802700519562,-1.53953635692596,0.385337829589844,1.17947840690613
background,-121.7577888889,46.7776194444,2,1,0.322157561779022,0.163263931870461,2.70794463157654,-1.06400895118713,-0.411819577217102,-1.61095786094666
background,-121.7457265879,46.7749368312,2,9,0.362029850482941,0.26535952091217,2.64170074462891,-1.50642883777618,-0.0258686188608408,1.36611318588257
background,-121.7336977265,46.7702600897,2,2,0.540433943271637,0.177022337913513,2.52426171302795,-1.08277654647827,-0.46911433339119,0.80277943611145
background,-121.7268086933,46.7972247722,6,2,3.08722710609436,0.220761656761169,2.99571299552917,-0.631096124649048,-0.826724886894226,-0.646659553050995
background,-121.634725,46.9188777778,2,3,0.919666945934296,-1.82414591312408,-1.56506407260895,0.719232499599457,1.7877631187439,0.0604798197746277
background,-121.651275,46.9186666667,2,3,1.2427716255188,-1.51621878147125,-1.68056011199951,-0.0906990095973015,0.402437180280685,-0.0206453073769808
background,-121.6609333333,46.9155611111,2,9,0.822445511817932,-1.38865649700165,-1.59540116786957,-0.299594551324844,-1.44882357120514,-0.976474940776825
background,-121.8789055556,46.7693805556,1,4,-4.89204692840576,-0.160733059048653,0.516165435314178,-1.87459337711334,-0.522506594657898,1.24887681007385
background,-121.8769361111,46.7650916667,1,8,-5.04354953765869,-0.168093949556351,0.772855460643768,-0.29948490858078,-0.421030282974243,1.7025032043457
background,-121.6273111111,46.9858166667,2,6,-3.24571084976196,-2.61298656463623,-0.999306201934814,1.99956297874451,-0.840022146701813,0.0105355242267251
background,-121.6231860833,46.9893944444,2,6,-3.37804126739502,-2.70170855522156,-1.16113173961639,0.894782900810242,-0.824492275714874,0.866180062294006
background,-121.6225138889,46.9898277778,2,6,-3.3594856262207,-2.6833131313324,-1.1740128993988,0.774844169616699,-0.943700432777405,0.118147313594818
background,-121.9412566256,46.7651813664,1,6,-3.81116342544556,1.00310206413269,0.70106965303421,0.408543586730957,-0.298255234956741,-0.397315442562103
background,-121.7354662242,46.7833088079,2,2,1.70668411254883,0.222553670406342,3.13513541221619,0.461117297410965,-1.13941049575806,-0.0864654332399368
background,-121.7821194444,46.7853888889,6,3,-0.620157122612,0.0725310891866684,2.88376593589783,0.615156710147858,0.14450216293335,-0.714391529560089
background,-121.595688,46.89036,4,2,-2.58674383163452,-3.08213376998901,-0.700230240821838,0.951955020427704,-0.69563090801239,-1.04613530635834
background,-121.7397861111,46.7948333333,6,2,2.43144822120667,0.124832279980183,2.82643842697144,-0.372332155704498,-0.892133235931396,-0.953988671302795
background,-121.8436777446,46.9348457666,6,4,1.04394745826721,3.49288630485535,-1.10740113258362,2.31117844581604,-0.758306384086609,0.689473628997803
background,-121.7372613028,46.7898348612,2,2,2.41381359100342,0.135539561510086,3.11947584152222,1.63611400127411,-0.819576561450958,0.786124467849731
background,-121.735086199,46.7873056513,2,2,2.10147643089294,0.197533741593361,3.07478094100952,0.553670942783356,-0.519551217556,1.35374462604523
background,-121.631325,46.91293,4,9,0.513194739818573,-1.85847091674805,-1.7939887046814,-2.17337322235107,-0.522397041320801,-0.55361670255661
background,-121.6572061667,46.9105237783,2,9,0.543511152267456,-1.47432434558868,-1.33655309677124,0.90862375497818,-1.33200824260712,-1.32449984550476
background,-121.7380142212,46.7913513184,2,2,2.36862182617188,0.111488245427608,2.67376852035522,-0.665279269218445,-0.439109563827515,1.13183784484863
background,-121.8212805556,46.9687277778,3,6,-3.06300783157349,3.16591334342957,-0.749747276306152,-2.25178647041321,-0.751837909221649,-0.144750535488129
background,-121.7294235229,46.7946929932,6,3,2.62376403808594,0.244977608323097,2.8932797908783,-0.089291013777256,-0.449904531240463,-1.71926629543304
background,-121.7326278687,46.7894821167,2,2,2.25909686088562,0.218488901853561,2.85869312286377,-0.713441133499146,0.320051103830338,1.50644254684448
background,-121.7321383333,46.803895,6,2,4.32359600067139,0.0458586290478706,2.42294573783875,-1.74719333648682,0.567610859870911,1.24705624580383
background,-121.556695,46.76047,6,6,-4.98061990737915,-3.78441166877747,1.47921288013458,-2.02205181121826,-0.833589732646942,1.22578930854797
background,-121.7235116667,46.7998216667,6,9,3.93283796310425,0.150958076119423,2.92950034141541,-0.0341699905693531,-0.266489952802658,1.65145945549011
background,-121.73957,46.7850783333,2,2,2.01526641845703,0.177538067102432,2.78446412086487,-0.882402777671814,-0.242202714085579,0.673296332359314
background,-121.7215116667,46.7923283333,6,3,2.20837378501892,0.290312051773071,3.41202211380005,1.22197353839874,-1.27607846260071,0.613304913043976
background,-121.6458283333,46.8554216667,6,3,3.30488014221191,-0.879563987255096,0.944180548191071,1.78740680217743,0.696829557418823,1.09213924407959
background,-121.7137966667,46.9034616667,6,9,4.36655235290527,-0.373176544904709,-1.02682971954346,0.313720554113388,1.67507684230804,1.46721351146698
background,-121.5553894043,46.7853088379,6,8,-5.09633541107178,-3.74034333229065,1.27329301834106,-0.166972368955612,-0.16283755004406,1.06491136550903
background,-121.7369383333,46.7933783333,2,2,2.62227869033813,0.122640840709209,2.78754806518555,0.15751850605011,-0.629891097545624,-1.66062831878662
background,-121.7143866667,46.77042,6,9,0.0417054668068886,-0.0316629111766815,2.33839344978333,-2.49921917915344,-0.144673630595207,0.78582900762558
background,-121.7397083333,46.7909783333,6,2,2.54899954795837,0.141977787017822,2.98014354705811,0.238441005349159,-1.13097810745239,1.0150032043457
background,-121.59423,46.9276283333,2,3,-0.518473565578461,-2.12449216842651,-1.70631670951843,-1.91273176670074,-1.10878574848175,0.706490874290466
background,-121.55538,46.7691166667,6,6,-5.02308750152588,-3.70200657844543,1.21204245090485,-2.29971623420715,-0.296957463026047,0.149546071887016
background,-121.7191042566,46.7951837602,6,3,3.36325001716614,0.250191062688828,2.69351768493652,-1.50305783748627,1.19006788730621,-0.114797040820122
background,-121.5843583333,46.9195466667,2,3,-0.526348769664764,-2.05345320701599,-1.67289352416992,-1.13099646568298,-0.127867057919502,-1.4864456653595
background,-121.6550202185,46.7615464293,2,6,-3.64713358879089,-2.21138906478882,1.10340523719788,0.896677732467651,0.197248488664627,0.520232319831848
background,-121.6550990062,46.7615587984,2,6,-3.66216325759888,-2.20248508453369,1.12880682945251,1.11910891532898,0.242353409528732,0.306029409170151
background,-121.7212988019,46.7918741323,6,3,2.22829127311707,0.323013663291931,3.30059552192688,1.55378234386444,-0.692949056625366,-0.764610052108765
background,-121.6713558252,46.9152791126,2,9,1.62701439857483,-1.23305308818817,-1.89063084125519,-1.88886475563049,-0.892792582511902,-0.95740932226181
background,-121.6653966667,46.8989416667,4,2,-0.0660354122519493,-1.49703550338745,-0.640854477882385,0.102732434868813,0.765532374382019,-1.72404599189758
background,-121.7835833333,46.77878,6,3,-1.57411336898804,-0.0706799551844597,2.88628625869751,0.884930193424225,-0.479189306497574,0.652839004993439
background,-121.6471416667,46.857475,6,4,2.96312737464905,-1.04170787334442,0.935898065567017,1.99672245979309,-0.592320740222931,-0.7996626496315
background,-121.6873783333,46.908305,6,9,2.65988826751709,-0.813510835170746,-1.34021019935608,0.58026510477066,-0.130342751741409,-1.68874251842499
background,-121.6363,46.900345,6,3,-1.36586797237396,-1.88585221767426,-1.03541994094849,0.666609883308411,-1.08621370792389,0.18834961950779
